utterance	output
i want to fly from baltimore to dallas round trip	[IN:ATIS_FLIGHT i want to fly from [SL:FROMLOC.CITY_NAME baltimore] to [SL:TOLOC.CITY_NAME dallas] [SL:ROUND_TRIP round trip]]
round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars	[IN:ATIS_AIRFARE [SL:ROUND_TRIP round trip] fares from baltimore to [SL:TOLOC.CITY_NAME philadelphia] [SL:COST_RELATIVE less] than [SL:FARE_AMOUNT 1000 dollars] [SL:ROUND_TRIP round trip] fares from denver to [SL:TOLOC.CITY_NAME philadelphia] [SL:COST_RELATIVE less] than [SL:FARE_AMOUNT 1000 dollars] [SL:ROUND_TRIP round trip] fares from [SL:FROMLOC.CITY_NAME pittsburgh] to [SL:TOLOC.CITY_NAME philadelphia] [SL:COST_RELATIVE less] than [SL:FARE_AMOUNT 1000 dollars]]
show me the flights arriving on baltimore on june fourteenth	[IN:ATIS_FLIGHT show me the flights arriving on [SL:TOLOC.CITY_NAME baltimore] on [SL:ARRIVE_DATE.MONTH_NAME june] [SL:ARRIVE_DATE.DAY_NUMBER fourteenth]]
what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm	[IN:ATIS_FLIGHT what are the flights which depart from [SL:FROMLOC.CITY_NAME san francisco] fly to [SL:TOLOC.CITY_NAME washington] via [SL:STOPLOC.CITY_NAME indianapolis] and arrive [SL:ARRIVE_TIME.TIME_RELATIVE by] [SL:ARRIVE_TIME.TIME 9 pm]]
which airlines fly from boston to washington dc via other cities	[IN:ATIS_AIRLINE which airlines fly from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME washington] [SL:TOLOC.STATE_CODE dc] via other cities]
i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out	[IN:ATIS_FLIGHT i'm looking for a flight from [SL:FROMLOC.CITY_NAME charlotte] to [SL:TOLOC.CITY_NAME las vegas] that stops in [SL:STOPLOC.CITY_NAME st. louis] hopefully a [SL:MEAL_DESCRIPTION dinner] flight how can i find that out]
okay and then from pittsburgh i'd like to travel to atlanta on september fourth	[IN:ATIS_FLIGHT okay and then from [SL:FROMLOC.CITY_NAME pittsburgh] i'd like to travel to [SL:TOLOC.CITY_NAME atlanta] on [SL:DEPART_DATE.MONTH_NAME september] [SL:DEPART_DATE.DAY_NUMBER fourth]]
show me all the flights from philadelphia to cincinnati	[IN:ATIS_FLIGHT show me all the flights from [SL:FROMLOC.CITY_NAME philadelphia] to [SL:TOLOC.CITY_NAME cincinnati]]
okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available	[IN:ATIS_FLIGHT okay i'd like a flight on [SL:AIRLINE_NAME us air] from [SL:FROMLOC.CITY_NAME indianapolis] to [SL:TOLOC.CITY_NAME san diego] in the [SL:DEPART_TIME.PERIOD_OF_DAY afternoon] what's available]
on tuesday what flights leave phoenix to st. paul minnesota and leave after noon	[IN:ATIS_FLIGHT on [SL:DEPART_DATE.DAY_NAME tuesday] what flights leave [SL:FROMLOC.CITY_NAME phoenix] to [SL:TOLOC.CITY_NAME st. paul] [SL:TOLOC.STATE_NAME minnesota] and leave [SL:DEPART_TIME.TIME_RELATIVE after] [SL:DEPART_TIME.TIME noon]]
american flights from chicago to los angeles morning	[IN:ATIS_FLIGHT [SL:AIRLINE_NAME american] flights from [SL:FROMLOC.CITY_NAME chicago] to [SL:TOLOC.CITY_NAME los angeles] [SL:DEPART_TIME.PERIOD_OF_DAY morning]]
what types of ground transportation are there to san francisco airport	[IN:ATIS_GROUND_SERVICE what types of ground transportation are there to [SL:TOLOC.AIRPORT_NAME san francisco airport]]
in the next two days i want to fly from nashville to san jose or to tacoma	[IN:ATIS_FLIGHT in the [SL:DEPART_DATE.DATE_RELATIVE next] two days i want to fly from [SL:FROMLOC.CITY_NAME nashville] to san jose [SL:OR or] to [SL:TOLOC.CITY_NAME tacoma]]
does continental airlines fly from denver to san francisco	[IN:ATIS_FLIGHT does [SL:AIRLINE_NAME continental airlines] fly from [SL:FROMLOC.CITY_NAME denver] to [SL:TOLOC.CITY_NAME san francisco]]
chicago to milwaukee	[IN:ATIS_FLIGHT [SL:FROMLOC.CITY_NAME chicago] to [SL:TOLOC.CITY_NAME milwaukee]]
how many flights does twa have in business class	[IN:ATIS_QUANTITY how many flights does [SL:AIRLINE_CODE twa] have in [SL:CLASS_TYPE business class]]
show me the flights from dallas to baltimore in first class	[IN:ATIS_FLIGHT show me the flights from [SL:FROMLOC.CITY_NAME dallas] to [SL:TOLOC.CITY_NAME baltimore] in [SL:CLASS_TYPE first class]]
i'd like to find the least expensive one way fare from boston to philadelphia	[IN:ATIS_AIRFARE i'd like to find the [SL:COST_RELATIVE least expensive] [SL:ROUND_TRIP one way] fare from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME philadelphia]]
how many booking classes are there	[IN:ATIS_QUANTITY how many booking classes are there]
what are the flights from tacoma to san jose on wednesday the nineteenth	[IN:ATIS_FLIGHT what are the flights from [SL:FROMLOC.CITY_NAME tacoma] to [SL:TOLOC.CITY_NAME san jose] on [SL:DEPART_DATE.DAY_NAME wednesday] the [SL:DEPART_DATE.DAY_NUMBER nineteenth]]
what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco	[IN:ATIS_FLIGHT what flights leave [SL:FROMLOC.CITY_NAME pittsburgh] [SL:DEPART_DATE.MONTH_NAME july] [SL:DEPART_DATE.DAY_NUMBER fifth] [SL:DEPART_TIME.TIME_RELATIVE after] [SL:DEPART_TIME.TIME 7 pm] and arrive in [SL:TOLOC.CITY_NAME san francisco]]
please list all the arriving and departing flights from general mitchell international	[IN:ATIS_FLIGHT please list all the arriving and departing flights from [SL:FROMLOC.AIRPORT_NAME general mitchell international]]
what time zone is denver in	[IN:ATIS_CITY what time zone is [SL:CITY_NAME denver] in]
show me ground transportation in boston and in baltimore	[IN:ATIS_GROUND_SERVICE show me ground transportation in boston and in [SL:CITY_NAME baltimore]]
