utterance	output
Is it possible for me to change my PIN number?	[IN:CHANGE_PIN Is it possible for me to change my PIN number?]
I'm not sure why my card didn't work	[IN:DECLINED_CARD_PAYMENT I'm not sure why my card didn't work]
I don't think my top up worked	[IN:TOP_UP_FAILED I don't think my top up worked]
Can you explain why my payment was charged a fee?	[IN:CARD_PAYMENT_FEE_CHARGED Can you explain why my payment was charged a fee?]
How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay	[IN:BALANCE_NOT_UPDATED_AFTER_BANK_TRANSFER How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay]
Why am I getting declines when trying to make a purchase online?	[IN:DECLINED_TRANSFER Why am I getting declines when trying to make a purchase online?]
What is the $1 transaction on my account?	[IN:EXTRA_CHARGE_ON_STATEMENT What is the $1 transaction on my account?]
It looks like my card payment was sent back.	[IN:REVERTED_CARD_PAYMENT? It looks like my card payment was sent back.]
Why am I unable to transfer money when I was able to before?	[IN:BENEFICIARY_NOT_ALLOWED Why am I unable to transfer money when I was able to before?]
What if there is an error on the exchange rate?	[IN:CARD_PAYMENT_WRONG_EXCHANGE_RATE What if there is an error on the exchange rate?]
After I transferred money the balance remained the same.	[IN:BALANCE_NOT_UPDATED_AFTER_BANK_TRANSFER After I transferred money the balance remained the same.]
How much does top up fees cost?	[IN:TOP_UP_BY_CARD_CHARGE How much does top up fees cost?]
limits on top ups	[IN:TOP_UP_LIMITS limits on top ups]
My card payment was not successful.	[IN:DECLINED_CARD_PAYMENT My card payment was not successful.]
I live in the EU - can I get a card?	[IN:COUNTRY_SUPPORT I live in the EU - can I get a card?]
Why did my top-up not work?	[IN:TOP_UP_FAILED Why did my top-up not work?]
I have a strange transaction for £1 on my statement, what is that?	[IN:EXTRA_CHARGE_ON_STATEMENT I have a strange transaction for £1 on my statement, what is that?]
Why is my money not in my account. I have already sent it out.	[IN:BALANCE_NOT_UPDATED_AFTER_CHEQUE_OR_CASH_DEPOSIT Why is my money not in my account. I have already sent it out.]
Let me know what the steps for the identity checks are	[IN:VERIFY_MY_IDENTITY Let me know what the steps for the identity checks are]
I need my card as quick as possible	[IN:CARD_DELIVERY_ESTIMATE I need my card as quick as possible]
In what increments can I top-up my card?	[IN:AUTOMATIC_TOP_UP In what increments can I top-up my card?]
When do i activate auto top-up?	[IN:AUTOMATIC_TOP_UP When do i activate auto top-up?]
Do you charge for sending out more cards?	[IN:GETTING_SPARE_CARD Do you charge for sending out more cards?]
Why am I being asked to verify my identity?	[IN:WHY_VERIFY_IDENTITY Why am I being asked to verify my identity?]
What currencies can I use?	[IN:SUPPORTED_CARDS_AND_CURRENCIES What currencies can I use?]
I withdrew cash and I think the exchange rate is wrong.	[IN:WRONG_EXCHANGE_RATE_FOR_CASH_WITHDRAWAL I withdrew cash and I think the exchange rate is wrong.]
My top up hasn't gone through yet, why?	[IN:PENDING_TOP_UP My top up hasn't gone through yet, why?]
Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?	[IN:CASH_WITHDRAWAL_CHARGE Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?]
The exchange rate was wrong in the foreign country I got cash in.	[IN:WRONG_EXCHANGE_RATE_FOR_CASH_WITHDRAWAL The exchange rate was wrong in the foreign country I got cash in.]
I am still waiting for a transfer to show	[IN:PENDING_TRANSFER I am still waiting for a transfer to show]
How is the exchange rate calculated?	[IN:EXCHANGE_RATE How is the exchange rate calculated?]
There was an extra fee when I paid with my card, why was i charged this extra fee?	[IN:CARD_PAYMENT_FEE_CHARGED There was an extra fee when I paid with my card, why was i charged this extra fee?]
My credit card seems to have been declined for top up. Why is it not going through? Can you tell me what's going on?	[IN:TOP_UP_FAILED My credit card seems to have been declined for top up. Why is it not going through? Can you tell me what's going on?]
My transfers keep on getting declined. My card was working fine up until now, however it has suddenly stopped working. Why is this?	[IN:DECLINED_TRANSFER My transfers keep on getting declined. My card was working fine up until now, however it has suddenly stopped working. Why is this?]
How long does it take for my physical card to be delivered.	[IN:CARD_DELIVERY_ESTIMATE How long does it take for my physical card to be delivered.]
I need to know why a money transfer is available.	[IN:PENDING_TRANSFER I need to know why a money transfer is available.]
I must make several disposable cards every day.	[IN:DISPOSABLE_CARD_LIMITS I must make several disposable cards every day.]
What do I do to link my new card?	[IN:CARD_LINKING What do I do to link my new card?]
Why is their a charge pending on my card still?	[IN:PENDING_CARD_PAYMENT Why is their a charge pending on my card still?]
Why is there extra cash in my account?	[IN:CASH_WITHDRAWAL_NOT_RECOGNISED Why is there extra cash in my account?]
Can I get a refund on an item?	[IN:REQUEST_REFUND Can I get a refund on an item?]
Can I get an update on my replacement card?	[IN:CARD_ARRIVAL Can I get an update on my replacement card?]
How do I know what my PIN is?	[IN:GET_PHYSICAL_CARD How do I know what my PIN is?]
In which countries can I get a card?	[IN:COUNTRY_SUPPORT In which countries can I get a card?]
Can I choose from either Visa or Mastercard?	[IN:VISA_OR_MASTERCARD Can I choose from either Visa or Mastercard?]
My card still hasn't been delivered	[IN:CARD_ARRIVAL My card still hasn't been delivered]
I didn't make the direct debit payment on my account.	[IN:DIRECT_DEBIT_PAYMENT_NOT_RECOGNISED I didn't make the direct debit payment on my account.]
after i got married i need to change my name	[IN:EDIT_PERSONAL_DETAILS after i got married i need to change my name]
How can I tell the source for my available funds?	[IN:VERIFY_SOURCE_OF_FUNDS How can I tell the source for my available funds?]
I didn't get all the cash I asked for	[IN:WRONG_AMOUNT_OF_CASH_RECEIVED I didn't get all the cash I asked for]
where did my funds come from?	[IN:VERIFY_SOURCE_OF_FUNDS where did my funds come from?]
I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?	[IN:DIRECT_DEBIT_PAYMENT_NOT_RECOGNISED I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?]
Apparently, I went out today to use my new card and was informed my payment was decline. This is really embarrassing, what happen?	[IN:DECLINED_CARD_PAYMENT Apparently, I went out today to use my new card and was informed my payment was decline. This is really embarrassing, what happen?]
My card is not working at stores.	[IN:DECLINED_CARD_PAYMENT My card is not working at stores.]
Do you accept all cards and currencies?	[IN:SUPPORTED_CARDS_AND_CURRENCIES Do you accept all cards and currencies?]
Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?	[IN:TRANSACTION_CHARGED_TWICE Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?]
It's requiring me to verify my identity?	[IN:WHY_VERIFY_IDENTITY It's requiring me to verify my identity?]
I noticed a different charge while I was taking my money out.	[IN:CASH_WITHDRAWAL_CHARGE I noticed a different charge while I was taking my money out.]
Where can I find my PIN? I haven't gotten it yet.	[IN:GET_PHYSICAL_CARD Where can I find my PIN? I haven't gotten it yet.]
Why isn't my cash deposit showing up in my account? I deposited it this morning.	[IN:BALANCE_NOT_UPDATED_AFTER_CHEQUE_OR_CASH_DEPOSIT Why isn't my cash deposit showing up in my account? I deposited it this morning.]
When I'm traveling is it possible to add money automatically at certain time points?	[IN:AUTOMATIC_TOP_UP When I'm traveling is it possible to add money automatically at certain time points?]
I've got a problem - I bought something with my card one or two weeks ago, but now exact same amount of the purchase is showing up in my account. I like more money in my account, but this is too good to be true. Can you tell me what's happening?	[IN:REVERTED_CARD_PAYMENT? I've got a problem - I bought something with my card one or two weeks ago, but now exact same amount of the purchase is showing up in my account. I like more money in my account, but this is too good to be true. Can you tell me what's happening?]
What cash machines will let me change my PIN?	[IN:CHANGE_PIN What cash machines will let me change my PIN?]
I haven't received my card.	[IN:CARD_ARRIVAL I haven't received my card.]
Where is my virtual card?	[IN:GETTING_VIRTUAL_CARD Where is my virtual card?]
I did a transfer and I was charged a fee that shouldn't be there!	[IN:TRANSFER_FEE_CHARGED I did a transfer and I was charged a fee that shouldn't be there!]
What are the reasons why a card payment would be declined?	[IN:DECLINED_CARD_PAYMENT What are the reasons why a card payment would be declined?]
When will I have access to my pin number?	[IN:GET_PHYSICAL_CARD When will I have access to my pin number?]
How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move	[IN:PENDING_CARD_PAYMENT How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move]
How do I get my card out of the ATM?	[IN:CARD_SWALLOWED How do I get my card out of the ATM?]
