utterance	output
来一首白居易的诗了。	[IN:QUERY 来一首[SL:AUTHOR 白居易]的诗了。]
中国教育电视台三台	[IN:PLAY [SL:NAME 中国教育电视台三台]]
来一首歌尔勤县	[IN:PLAY 来一首歌尔勤县]
尽在不言中下一句是什么？	[IN:QUERY [SL:KEYWORD 尽在不言中][SL:QUERYFIELD 下一句]是什么？]
中国霸王花	[IN:QUERY [SL:NAME 中国霸王花]]
打开索尼官方网站	[IN:OPEN 打开[SL:NAME 索尼]官方网站]
搜索逃学威龙第二部	[IN:QUERY 搜索[SL:NAME 逃学威龙][SL:SEASON 第二部]]
帮我找到去安徽黄山的路	[IN:ROUTE 帮我找到去[SL:ENDLOC_PROVINCE 安徽][SL:ENDLOC_POI 黄山]的路]
明天珠海到青岛的航班	[IN:QUERY [SL:STARTDATE_DATE 明天][SL:STARTLOC_CITY 珠海]到[SL:ENDLOC_CITY 青岛]的航班]
让我猜个谜语。	[IN:QUERY 让我猜个[SL:CATEGORY 谜语]。]
美国恐怖电影	[IN:QUERY [SL:AREA 美国][SL:TAG 恐怖][SL:CATEGORY 电影]]
温州到上海的车。	[IN:QUERY [SL:SRC 温州]到[SL:DEST 上海]的车。]
我现在要发一条信息	[IN:SEND 我现在要发一条信息]
查一下济南到成都的航班	[IN:QUERY 查一下[SL:STARTLOC_CITY 济南]到[SL:ENDLOC_CITY 成都]的航班]
干豆角怎么烧？	[IN:QUERY [SL:INGREDIENT 干豆角]怎么烧？]
附近有没有电影院啊？	[IN:QUERY 附近有没有电影院啊？]
我想知道今天的娱乐新闻。	[IN:PLAY 我想知道[SL:DATETIME_DATE 今天]的[SL:CATEGORY 娱乐]新闻。]
查一下苏州到洛阳的火车票	[IN:QUERY 查一下[SL:STARTLOC_CITY 苏州]到[SL:ENDLOC_CITY 洛阳]的火车票]
香蕉用英语怎么讲	[IN:TRANSLATION [SL:CONTENT 香蕉]用[SL:TARGET 英语]怎么讲]
冯沙排骨怎么做？	[IN:QUERY 冯沙[SL:INGREDIENT 排骨]怎么做？]
查询一下南方航空的股票	[IN:QUERY 查询一下[SL:NAME 南方航空]的股票]
虾炒蛋怎么做？	[IN:QUERY [SL:DISHNAME 虾炒蛋]怎么做？]
刘诗诗主演过的电影	[IN:QUERY [SL:ARTIST 刘诗诗][SL:ARTISTROLE 主演]过的[SL:CATEGORY 电影]]
小孩子有肺炎的治疗方法有哪些？	[IN:QUERY 小孩子有[SL:KEYWORD 肺炎]的治疗方法有哪些？]
麻辣烫做法。	[IN:QUERY [SL:DISHNAME 麻辣烫]做法。]
新蛋网	[IN:OPEN [SL:NAME 新蛋网]]
就拉下的饺子怎么做？	[IN:QUERY 就拉下的[SL:DISHNAME 饺子]怎么做？]
帮我搜索一下红烧排骨。	[IN:QUERY 帮我搜索一下[SL:DISHNAME 红烧排骨]。]
肾积水怎么治？	[IN:QUERY [SL:KEYWORD 肾积水]怎么治？]
买东西翻译成英语	[IN:TRANSLATION [SL:CONTENT 买东西]翻译成[SL:TARGET 英语]]
查看短消息	[IN:VIEW 查看短消息]
找下最近最热播的电影。	[IN:QUERY 找下最近最热播的电影。]
给许浩发一条短信	[IN:SEND 给[SL:NAME 许浩]发一条短信]
乳腺炎。	[IN:QUERY [SL:KEYWORD 乳腺炎]。]
糖尿病注意什么？	[IN:QUERY [SL:KEYWORD 糖尿病]注意什么？]
陈奕迅有什么歌啊	[IN:SEARCH [SL:ARTIST 陈奕迅]有什么歌啊]
今天新余到北京的航班	[IN:QUERY [SL:STARTDATE_DATE 今天][SL:STARTLOC_CITY 新余]到[SL:ENDLOC_CITY 北京]的航班]
那做红烧鱼需要哪些材料啊？	[IN:QUERY 那做[SL:DISHNAME 红烧鱼]需要哪些材料啊？]
扬州炒饭	[IN:QUERY [SL:DISHNAME 扬州炒饭]]
咳嗽怎么治？	[IN:QUERY [SL:KEYWORD 咳嗽]怎么治？]
背一首声声慢。	[IN:QUERY 背一首[SL:NAME 声声慢]。]
红烧鱼怎么烧啊？	[IN:QUERY [SL:DISHNAME 红烧鱼]怎么烧啊？]
帮我查一下从济南到福州的机票	[IN:QUERY 帮我查一下从[SL:STARTLOC_CITY 济南]到[SL:ENDLOC_CITY 福州]的机票]
北京国安的赛程。	[IN:QUERY [SL:NAME 北京国安]的赛程。]
收听中国人民广播电台广播	[IN:LAUNCH 收听[SL:NAME 中国人民广播电台广播]]
送黄炒鸡蛋怎么做？	[IN:QUERY 送黄[SL:DISHNAME 炒鸡蛋]怎么做？]
福建电视台	[IN:PLAY [SL:NAME 福建电视台]]
葱爆羊肉的做法。	[IN:QUERY [SL:DISHNAME 葱爆羊肉]的做法。]
等一下七点半湖南卫视会播出什么节目	[IN:QUERY 等一下[SL:DATETIME_TIME 七点半][SL:TVCHANNEL 湖南卫视]会播出什么节目]
来个最新新闻。	[IN:PLAY 来个[SL:KEYWORD 最新]新闻。]
现在有什么好看的电视剧吗？	[IN:QUERY [SL:DATETIME_TIME 现在]有什么好看的[SL:CATEGORY 电视剧]吗？]
给我查一下什么时间有播放天天向上	[IN:QUERY 给我查一下什么时间有播放[SL:NAME 天天向上]]
查询泉州到上海的动车票	[IN:QUERY 查询[SL:STARTLOC_CITY 泉州]到[SL:ENDLOC_CITY 上海]的[SL:CATEGORY 动车]票]
