utterance	output
我要听吴雨霏的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 吴雨霏]的歌]
我要听tfboys唱的歌。	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME tfboys]唱的歌。]
我想听丑八怪的。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 丑八怪]的。]
我要听血腥爱情故事。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 血腥爱情故事]。]
我想听青梅竹马	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 青梅竹马]]
郭德纲相声。	[IN:PLAYFMCROSSTALK [SL:CROSSTALK_NAME 郭德纲]相声。]
上海明天天气	[IN:GETWEATHER [SL:LOCATION 上海][SL:DATE 明天]天气]
播放奇花这首歌。	[IN:PLAYMUSIC 播放[SL:SONG_NAME 奇花]这首歌。]
播放，音乐，心墙。	[IN:PLAYMUSIC 播放，音乐，[SL:SONG_NAME 心墙]。]
播放老人与海	[IN:PLAYMUSIC 播放[SL:SONG_NAME 老人与海]]
来一首电音的	[IN:PLAYMUSIC 来一首[SL:SONG_TYPE 电音]的]
我想，听逆战。	[IN:PLAYMUSIC 我想，听[SL:SONG_NAME 逆战]。]
我要听孙语赛，萧全的歌	[IN:PLAYMUSIC 我要听孙语赛，[SL:SINGER_NAME 萧全]的歌]
阿杜的歌	[IN:PLAYMUSIC [SL:SINGER_NAME 阿杜]的歌]
找一下马三立的相声	[IN:PLAYFMCROSSTALK 找一下[SL:ACTOR_NAME 马三立]的相声]
唱林俊杰的。	[IN:PLAYMUSIC 唱[SL:SINGER_NAME 林俊杰]的。]
我想听最初的梦想。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 最初的梦想]。]
我想什么啊，唱个两只老虎。	[IN:PLAYMUSIC 我想什么啊，唱个[SL:SONG_NAME 两只老虎]。]
播放江南style	[IN:PLAYMUSIC 播放[SL:SONG_NAME 江南style]]
我要听小鸭。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 小鸭]。]
播放音乐，早安。	[IN:PLAYMUSIC 播放音乐，[SL:SONG_NAME 早安]。]
我想听陈柯宇的生僻字	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 陈柯宇]的[SL:SONG_NAME 生僻字]]
我想听李克勤的红日	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 李克勤]的[SL:SONG_NAME 红日]]
我要听四季	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 四季]]
播放我们爱讲冷笑话	[IN:PLAYFMJOKE 播放我们爱讲[SL:JOKE_TAG 冷笑话]]
唱游	[IN:PLAYMUSIC 唱游]
乐正绫的歌	[IN:PLAYMUSIC [SL:SINGER_NAME 乐正绫]的歌]
来一首小苹果啊!	[IN:PLAYMUSIC 来一首[SL:SONG_NAME 小苹果]啊!]
儿童音乐	[IN:PLAYMUSIC [SL:SONG_TYPE 儿童]音乐]
我要听摇篮歌曲	[IN:PLAYMUSIC 我要听[SL:SONG_TYPE 摇篮]歌曲]
播放，一首不为谁而作的歌。	[IN:PLAYMUSIC 播放，一首[SL:SONG_NAME 不为谁而作的歌]。]
我想听我是歌手张杰的歌。	[IN:PLAYMUSIC 我想听[SL:ALBUM_NAME 我是歌手][SL:SINGER_NAME 张杰]的歌。]
baby的歌	[IN:PLAYMUSIC [SL:SINGER_NAME baby]的歌]
唱一首学猫叫的歌	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 学猫叫]的歌]
明天早上六点四十分叫我起床	[IN:REMIND [SL:DATE 明天早上六点四十分]叫我[SL:EVENT 起床]]
鹿晗唱的歌啊	[IN:PLAYMUSIC [SL:SINGER_NAME 鹿晗]唱的歌啊]
那你给我唱首不完美？	[IN:PLAYMUSIC 那你给我唱首[SL:SONG_NAME 不完美]？]
唱小毛驴	[IN:PLAYMUSIC 唱[SL:SONG_NAME 小毛驴]]
放一首宝贝宝贝	[IN:PLAYMUSIC 放一首[SL:SONG_NAME 宝贝宝贝]]
夜话歌曲，小苹果。	[IN:PLAYMUSIC 夜话歌曲，[SL:SONG_NAME 小苹果]。]
放首好听的歌	[IN:PLAYMUSIC 放首[SL:SONG_TYPE 好听]的歌]
播放周杰伦的	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 周杰伦]的]
听放手爱	[IN:PLAYMUSIC 听[SL:SONG_NAME 放手爱]]
来首王力宏的歌	[IN:PLAYMUSIC 来首[SL:SINGER_NAME 王力宏]的歌]
魔法俏佳人	[IN:PLAYMUSIC [SL:MOVIE_NAME 魔法俏佳人]]
我想听爵士乐	[IN:PLAYMUSIC 我想听[SL:SONG_TYPE 爵士乐]]
播放小幸运	[IN:PLAYMUSIC 播放[SL:SONG_NAME 小幸运]]
搜索一人我饮酒醉歌曲	[IN:PLAYMUSIC 搜索[SL:SONG_NAME 一人我饮酒醉]歌曲]
请播放胎教音乐	[IN:PLAYMUSIC 请播放[SL:SONG_TYPE 胎教]音乐]
来一首金箍棒。	[IN:PLAYMUSIC 来一首[SL:SONG_NAME 金箍棒]。]
我是一个粉刷匠	[IN:PLAYMUSIC [SL:SONG_NAME 我是一个粉刷匠]]
梁静茹情歌	[IN:PLAYMUSIC [SL:SINGER_NAME 梁静茹][SL:SONG_NAME 情歌]]
播放网络歌曲榜单	[IN:PLAYMUSIC 播放[SL:LIST 网络歌曲榜单]]
我要听大脚丫跳芭蕾	[IN:PLAYFMSTORY 我要听[SL:STORY_NAME 大脚丫跳芭蕾]]
睡前音乐。	[IN:PLAYMUSIC [SL:SONG_TYPE 睡前]音乐。]
播放我好喜欢你	[IN:PLAYMUSIC 播放[SL:SONG_NAME 我好喜欢你]]
basket	[IN:CHAT [SL:SONG_NAME basket]]
我想听小星星。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 小星星]。]
帮我播放7月上这首歌曲。	[IN:PLAYMUSIC 帮我播放[SL:SONG_NAME 7月上]这首歌曲。]
你好请播放一首儿歌好吗	[IN:PLAYMUSIC 你好请播放一首[SL:SONG_TYPE 儿歌]好吗]
最近天气怎么样	[IN:GETWEATHER [SL:DATE 最近]天气怎么样]
罗志祥的歌你会唱吗	[IN:PLAYMUSIC [SL:SINGER_NAME 罗志祥]的歌你会唱吗]
tfboys青春修炼手册的歌曲。	[IN:PLAYMUSIC [SL:SINGER_NAME tfboys][SL:SONG_NAME 青春修炼手册]的歌曲。]
播放是谁	[IN:PLAYMUSIC 播放[SL:SONG_NAME 是谁]]
唱一首陈奕迅的歌	[IN:PLAYMUSIC 唱一首[SL:SINGER_NAME 陈奕迅]的歌]
你给我唱一首,我的快乐就是想你。	[IN:PLAYMUSIC 你给我唱一首,[SL:SONG_NAME 我的快乐就是想你]。]
我想听左手右手。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 左手右手]。]
我要听疯狂动物城	[IN:PLAYFMSTORY 我要听[SL:STORY_NAME 疯狂动物城]]
播我爱我的家	[IN:PLAYMUSIC 播[SL:SONG_NAME 我爱我的家]]
好,锅想听神曲。	[IN:PLAYMUSIC 好,锅想听[SL:SONG_TYPE 神曲]。]
张大伟的倍儿爽。	[IN:PLAYMUSIC [SL:SINGER_NAME 张大伟]的[SL:SONG_NAME 倍儿爽]。]
放首流浪	[IN:PLAYMUSIC 放首[SL:SONG_NAME 流浪]]
播放屁屁超人	[IN:PLAYFMSTORY 播放[SL:STORY_NAME 屁屁超人]]
吴亦凡歌	[IN:PLAYMUSIC [SL:SINGER_NAME 吴亦凡]歌]
我要听老爸老妈这首歌。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 老爸老妈]这首歌。]
我想听小螺号。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 小螺号]。]
现在天气	[IN:GETWEATHER [SL:DATE 现在]天气]
周杰伦 夜曲	[IN:PLAYMUSIC [SL:SINGER_NAME 周杰伦] [SL:SONG_NAME 夜曲]]
你给我唱一个，常回家看看。	[IN:PLAYMUSIC 你给我唱一个，[SL:SONG_NAME 常回家看看]。]
唱九八k	[IN:PLAYMUSIC 唱[SL:SONG_NAME 九八k]]
你还听过苏打绿那些歌	[IN:PLAYMUSIC 你还听过[SL:SINGER_NAME 苏打绿]那些歌]
播放铃儿响叮当	[IN:PLAYMUSIC 播放[SL:SONG_NAME 铃儿响叮当]]
播放米小圈的故事	[IN:PLAYFMSTORY 播放[SL:STORY_TAG 米小圈]的故事]
想听我的天空。	[IN:PLAYMUSIC 想听[SL:SONG_NAME 我的天空]。]
我想听男人的歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 男人的歌]。]
天路。	[IN:PLAYMUSIC [SL:SONG_NAME 天路]。]
有没有吴晓波的激荡三十年	[IN:PLAYFMFICTION 有没有[SL:AUTHOR_NAME 吴晓波]的[SL:FICTION_NAME 激荡三十年]]
